===== synchronizedResults.txt RESULTS =====
8	100	352850
8	100	317809
8	100	225650
8	100	329181
8	100	290690
16	100	950089
16	100	996990
16	100	915737
16	100	773850
16	100	682209
32	100	2.85156e+06
32	100	2.71391e+06
32	100	2.45921e+06
32	100	2.49971e+06
32	100	2.59704e+06
1	1000	6357.91
1	1000	5608.89
1	1000	6061.42
1	1000	5890.60
1	1000	5719.14
2	1000	10045.8
2	1000	10821.3
2	1000	11407.0
2	1000	9306.35
2	1000	11300.1
4	1000	22931.1
4	1000	22359.3
4	1000	21314.0
4	1000	21493.8
4	1000	23254.4
8	1000	55815.6
8	1000	50396.3
8	1000	47361.2
8	1000	42616.6
8	1000	41247.6
16	1000	106159
16	1000	89552.4
16	1000	122448
16	1000	108224
16	1000	92977.1
32	1000	279545
32	1000	281230
32	1000	310081
32	1000	261111
32	1000	222641
1	10000	961.383
1	10000	906.923
1	10000	1065.61
1	10000	849.881
1	10000	903.553
2	10000	3064.31
2	10000	3226.34
2	10000	3261.61
2	10000	1863.26
2	10000	3058.82
4	10000	6503.17
4	10000	6688.13
4	10000	6265.46
4	10000	6343.38
4	10000	6387.41
8	10000	12138.5
8	10000	14997.0
8	10000	12752.6
8	10000	12012.0
8	10000	12358.8
16	10000	29166.8
16	10000	31920.5
16	10000	26159.2
16	10000	36894.1
16	10000	25547.5
32	10000	65686.3
32	10000	53887.9
32	10000	56588.0
32	10000	53000.5
32	10000	51585.4
1	100000	269.923
1	100000	255.870
1	100000	244.251
1	100000	246.309
1	100000	232.595
2	100000	556.333
2	100000	979.140
2	100000	1148.29
2	100000	1228.42
2	100000	1116.73
4	100000	2095.58
4	100000	1603.47
4	100000	2581.74
4	100000	1995.23
4	100000	2089.69
8	100000	3869.10
8	100000	3039.79
8	100000	3807.65
8	100000	3180.55
8	100000	2912.15
16	100000	7166.12
16	100000	6161.42
16	100000	5780.50
16	100000	8544.58
16	100000	7401.60
32	100000	17256.6
32	100000	14590.0
32	100000	18932.7
32	100000	17278.5
1	1000000	69.6205
1	1000000	68.4744
1	1000000	64.1587
1	1000000	64.5741
1	1000000	69.9568
16	1000000	3889.98
===== betterSafeResults.txt RESULTS =====
1	100	31761.9
1	100	30736.4
1	100	27117.9
1	100	31427.5
1	100	32191.4
2	100	66732.1
2	100	66253.2
2	100	59691.5
2	100	69219.4
2	100	59344.1
4	100	163447
4	100	185099
4	100	178763
4	100	170268
4	100	142378
8	100	393058
8	100	406153
8	100	363423
8	100	384547
8	100	387084
16	100	932999
16	100	1.06748e+06
16	100	1.03691e+06
16	100	1.00794e+06
16	100	1.07423e+06
32	100	2.42139e+06
32	100	2.82865e+06
32	100	3.49002e+06
32	100	2.81313e+06
32	100	2.83785e+06
1	1000	6039.17
1	1000	6034.39
1	1000	5531.55
1	1000	5548.97
1	1000	6023.35
2	1000	12923.4
2	1000	13484.0
2	1000	10656.5
2	1000	11118.6
2	1000	11856.3
4	1000	25646.3
4	1000	28524.1
4	1000	27511.4
4	1000	28184.3
4	1000	29922.1
8	1000	58709.8
8	1000	56870.5
8	1000	53621.4
8	1000	59229.8
8	1000	60067.0
16	1000	127979
16	1000	128192
16	1000	140153
16	1000	120626
16	1000	126110
32	1000	312087
32	1000	302131
32	1000	324329
32	1000	281374
32	1000	363961
1	10000	1058.28
1	10000	1022.83
1	10000	1184.47
1	10000	1014.74
1	10000	836.620
2	10000	3182.17
2	10000	3188.55
2	10000	2669.76
2	10000	3457.45
2	10000	2641.26
4	10000	5822.27
4	10000	6211.40
4	10000	6160.13
4	10000	6139.64
4	10000	6200.52
8	10000	10555.8
8	10000	12065.8
8	10000	13416.4
8	10000	13090.6
8	10000	12205.1
16	10000	27264.3
16	10000	26016.7
16	10000	29041.9
16	10000	25505.3
16	10000	25858.3
32	10000	57892.2
32	10000	55208.6
32	10000	53152.5
32	10000	50782.4
32	10000	57181.8
1	100000	231.442
1	100000	225.720
1	100000	226.814
1	100000	251.585
1	100000	267.402
2	100000	1260.54
2	100000	1340.13
2	100000	1217.51
2	100000	1312.93
2	100000	696.462
4	100000	2119.65
4	100000	2258.10
4	100000	2370.24
4	100000	2324.48
4	100000	1983.57
8	100000	4159.21
8	100000	4207.03
8	100000	4522.55
8	100000	4324.97
8	100000	4210.98
16	100000	8389.88
16	100000	7259.70
16	100000	8114.84
16	100000	7781.38
16	100000	8372.45
32	100000	16332.1
32	100000	15951.2
32	100000	17755.0
32	100000	16721.0
32	100000	17522.6
1	1000000	66.6247
1	1000000	69.8825
1	1000000	71.0462
1	1000000	70.4065
1	1000000	67.5154
2	1000000	632.860
2	1000000	661.041
2	1000000	662.722
2	1000000	595.523
2	1000000	582.911
4	1000000	677.004
4	1000000	692.034
4	1000000	667.937
4	1000000	694.053
4	1000000	669.713
8	1000000	1248.80
8	1000000	1348.41
8	1000000	1365.69
8	1000000	1390.90
8	1000000	1215.39
16	1000000	2884.07
16	1000000	3006.24
16	1000000	2714.90
16	1000000	2477.38
16	1000000	2728.08
32	1000000	6429.21
32	1000000	5753.98
32	1000000	6313.80
32	1000000	5654.24
32	1000000	5729.27
===== betterSorryResults.txt RESULTS =====
1	100	23173.1
1	100	27331.6
1	100	19939.8
1	100	28692.1
1	100	20118.2
2	100	47115.9
2	100	46963.1
2	100	43887.6
2	100	48292.3
2	100	45660.0
4	100	114656
4	100	115225
4	100	118017
4	100	122051
4	100	90084.8
8	100	300614
8	100	256663
8	100	222825
8	100	234169
8	100	277341
16	100	621827
16	100	619603
16	100	629309
16	100	602916
16	100	660599
32	100	1.94786e+06
32	100	1.87219e+06
32	100	1.66999e+06
32	100	2.28447e+06
32	100	1.73337e+06
1	1000	4556.35
1	1000	4490.37
1	1000	3093.74
1	1000	4414.12
1	1000	3662.73
2	1000	7736.84
2	1000	7771.72
2	1000	8697.30
2	1000	8349.81
2	1000	8722.08
4	1000	21659.0
4	1000	16885.6
4	1000	13481.3
4	1000	16267.7
4	1000	16275.1
8	1000	31773.9
8	1000	36480.3
